filename, language, Lua, Shell Script, comment, blank, total
c:\Users\josh\code\cavegame\bin\build.sh, Shell Script, 0, 41, 1, 12, 54
c:\Users\josh\code\cavegame\config.lua, Lua, 42, 0, 0, 1, 43
c:\Users\josh\code\cavegame\data\items\base.lua, Lua, 408, 0, 7, 76, 491
c:\Users\josh\code\cavegame\data\items\food.lua, Lua, 0, 0, 0, 1, 1
c:\Users\josh\code\cavegame\data\items\magic.lua, Lua, 43, 0, 0, 6, 49
c:\Users\josh\code\cavegame\data\items\natesitems.lua, Lua, 0, 0, 0, 1, 1
c:\Users\josh\code\cavegame\data\items\potions.lua, Lua, 74, 0, 1, 8, 83
c:\Users\josh\code\cavegame\data\items\stations.lua, Lua, 174, 0, 0, 21, 195
c:\Users\josh\code\cavegame\data\items\throwables.lua, Lua, 20, 0, 2, 8, 30
c:\Users\josh\code\cavegame\data\items\tools.lua, Lua, 204, 0, 6, 34, 244
c:\Users\josh\code\cavegame\data\items\weaponry.lua, Lua, 160, 0, 3, 41, 204
c:\Users\josh\code\cavegame\data\loottables\smalldungeon.lua, Lua, 0, 0, 0, 1, 1
c:\Users\josh\code\cavegame\data\recipes\alchemy.lua, Lua, 7, 0, 0, 2, 9
c:\Users\josh\code\cavegame\data\recipes\anvil.lua, Lua, 16, 0, 0, 5, 21
c:\Users\josh\code\cavegame\data\recipes\base.lua, Lua, 4, 0, 0, 0, 4
c:\Users\josh\code\cavegame\data\recipes\furnace.lua, Lua, 17, 0, 0, 6, 23
c:\Users\josh\code\cavegame\data\recipes\mechanarium.lua, Lua, 14, 0, 0, 2, 16
c:\Users\josh\code\cavegame\data\recipes\refinery.lua, Lua, 14, 0, 0, 2, 16
c:\Users\josh\code\cavegame\data\recipes\workbench.lua, Lua, 21, 0, 1, 8, 30
c:\Users\josh\code\cavegame\data\structures\dungeons\a.lua, Lua, 2555, 0, 0, 0, 2555
c:\Users\josh\code\cavegame\data\structures\flyingcastles\a.lua, Lua, 1491, 0, 0, 0, 1491
c:\Users\josh\code\cavegame\data\structures\trees\bigtree.lua, Lua, 39, 0, 6, 8, 53
c:\Users\josh\code\cavegame\data\structures\trees\maketree.lua, Lua, 35, 0, 0, 6, 41
c:\Users\josh\code\cavegame\data\texturereference.lua, Lua, 109, 0, 6, 7, 122
c:\Users\josh\code\cavegame\data\tiles\base.lua, Lua, 235, 0, 1, 34, 270
c:\Users\josh\code\cavegame\data\tiles\furniture.lua, Lua, 229, 0, 4, 52, 285
c:\Users\josh\code\cavegame\data\tiles\grasses.lua, Lua, 176, 0, 3, 42, 221
c:\Users\josh\code\cavegame\data\tiles\liquids.lua, Lua, 217, 0, 5, 33, 255
c:\Users\josh\code\cavegame\data\tiles\mechanisms.lua, Lua, 100, 0, 5, 24, 129
c:\Users\josh\code\cavegame\data\tiles\misc.lua, Lua, 59, 0, 0, 21, 80
c:\Users\josh\code\cavegame\data\tiles\rocks.lua, Lua, 0, 0, 0, 1, 1
c:\Users\josh\code\cavegame\data\tiles\vegetation.lua, Lua, 214, 0, 5, 29, 248
c:\Users\josh\code\cavegame\main.lua, Lua, 40, 0, 3, 15, 58
c:\Users\josh\code\cavegame\src\backgrounds.lua, Lua, 125, 0, 5, 29, 159
c:\Users\josh\code\cavegame\src\chunking.lua, Lua, 121, 0, 9, 31, 161
c:\Users\josh\code\cavegame\src\collision.lua, Lua, 51, 0, 19, 19, 89
c:\Users\josh\code\cavegame\src\data.lua, Lua, 140, 0, 24, 47, 211
c:\Users\josh\code\cavegame\src\editor.lua, Lua, 285, 0, 3, 67, 355
c:\Users\josh\code\cavegame\src\entities.lua, Lua, 2, 0, 3, 5, 10
c:\Users\josh\code\cavegame\src\entities\chestentity.lua, Lua, 30, 0, 0, 11, 41
c:\Users\josh\code\cavegame\src\entities\entity.lua, Lua, 87, 0, 2, 30, 119
c:\Users\josh\code\cavegame\src\entities\explosion.lua, Lua, 88, 0, 6, 27, 121
c:\Users\josh\code\cavegame\src\entities\floatingtext.lua, Lua, 24, 0, 0, 14, 38
c:\Users\josh\code\cavegame\src\entities\hostile\bat.lua, Lua, 55, 0, 3, 20, 78
c:\Users\josh\code\cavegame\src\entities\hostile\bee.lua, Lua, 62, 0, 2, 17, 81
c:\Users\josh\code\cavegame\src\entities\hostile\evilcube.lua, Lua, 8, 0, 0, 7, 15
c:\Users\josh\code\cavegame\src\entities\hostile\flower.lua, Lua, 114, 0, 8, 34, 156
c:\Users\josh\code\cavegame\src\entities\hostile\skull.lua, Lua, 25, 0, 0, 10, 35
c:\Users\josh\code\cavegame\src\entities\hostile\slime.lua, Lua, 40, 0, 4, 14, 58
c:\Users\josh\code\cavegame\src\entities\hostile\zombie.lua, Lua, 125, 0, 4, 29, 158
c:\Users\josh\code\cavegame\src\entities\humanoid.lua, Lua, 180, 0, 3, 44, 227
c:\Users\josh\code\cavegame\src\entities\itemstack.lua, Lua, 61, 0, 0, 16, 77
c:\Users\josh\code\cavegame\src\entities\physicalentity.lua, Lua, 134, 0, 4, 40, 178
c:\Users\josh\code\cavegame\src\entities\player.lua, Lua, 336, 0, 8, 95, 439
c:\Users\josh\code\cavegame\src\entities\projectiles\bombentity.lua, Lua, 53, 0, 3, 19, 75
c:\Users\josh\code\cavegame\src\entities\projectiles\bullet.lua, Lua, 12, 0, 0, 4, 16
c:\Users\josh\code\cavegame\src\entities\projectiles\glowstick.lua, Lua, 26, 0, 0, 11, 37
c:\Users\josh\code\cavegame\src\entities\projectiles\magicball.lua, Lua, 48, 0, 8, 22, 78
c:\Users\josh\code\cavegame\src\entities\projectiles\projectile.lua, Lua, 41, 0, 3, 11, 55
c:\Users\josh\code\cavegame\src\entities\projectiles\stickybombentity.lua, Lua, 17, 0, 0, 7, 24
c:\Users\josh\code\cavegame\src\entities\tileentity.lua, Lua, 18, 0, 0, 6, 24
c:\Users\josh\code\cavegame\src\gameloop.lua, Lua, 447, 0, 21, 111, 579
c:\Users\josh\code\cavegame\src\grid.lua, Lua, 29, 0, 8, 8, 45
c:\Users\josh\code\cavegame\src\guiutil.lua, Lua, 60, 0, 3, 13, 76
c:\Users\josh\code\cavegame\src\input.lua, Lua, 35, 0, 7, 8, 50
c:\Users\josh\code\cavegame\src\inventory.lua, Lua, 78, 0, 24, 27, 129
c:\Users\josh\code\cavegame\src\items.lua, Lua, 109, 0, 19, 29, 157
c:\Users\josh\code\cavegame\src\jcon.lua, Lua, 156, 0, 5, 24, 185
c:\Users\josh\code\cavegame\src\json.lua, Lua, 294, 0, 43, 63, 400
c:\Users\josh\code\cavegame\src\jui.lua, Lua, 581, 0, 15, 181, 777
c:\Users\josh\code\cavegame\src\jutils.lua, Lua, 308, 0, 193, 118, 619
c:\Users\josh\code\cavegame\src\lighting.lua, Lua, 265, 0, 14, 78, 357
