Date : 2019-11-27 20:31:00
Directory : c:\Users\josh\code\cavegame
Total : 86 files,  14410 codes, 848 comments, 2638 blanks, all 17896 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Lua          |         85 |     14,369 |        847 |      2,626 |     17,842 |
| Shell Script |          1 |         41 |          1 |         12 |         54 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |         86 |     14,410 |        848 |      2,638 |     17,896 |
| bin                                                                       |          1 |         41 |          1 |         12 |         54 |
| data                                                                      |         30 |      6,635 |         55 |        479 |      7,169 |
| data\items                                                                |          9 |      1,083 |         19 |        196 |      1,298 |
| data\loottables                                                           |          1 |          0 |          0 |          1 |          1 |
| data\recipes                                                              |          7 |         93 |          1 |         25 |        119 |
| data\structures                                                           |          4 |      4,120 |          6 |         14 |      4,140 |
| data\structures\dungeons                                                  |          1 |      2,555 |          0 |          0 |      2,555 |
| data\structures\flyingcastles                                             |          1 |      1,491 |          0 |          0 |      1,491 |
| data\structures\trees                                                     |          2 |         74 |          6 |         14 |         94 |
| data\tiles                                                                |          8 |      1,230 |         23 |        236 |      1,489 |
| src                                                                       |         53 |      7,652 |        789 |      2,131 |     10,572 |
| src\entities                                                              |         22 |      1,584 |         58 |        488 |      2,130 |
| src\entities\hostile                                                      |          7 |        429 |         21 |        131 |        581 |
| src\entities\projectiles                                                  |          6 |        197 |         14 |         74 |        285 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                  | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\josh\code\cavegame\bin\build.sh                                  | Shell Script |         41 |          1 |         12 |         54 |
| c:\Users\josh\code\cavegame\config.lua                                    | Lua          |         42 |          0 |          1 |         43 |
| c:\Users\josh\code\cavegame\data\items\base.lua                           | Lua          |        408 |          7 |         76 |        491 |
| c:\Users\josh\code\cavegame\data\items\food.lua                           | Lua          |          0 |          0 |          1 |          1 |
| c:\Users\josh\code\cavegame\data\items\magic.lua                          | Lua          |         43 |          0 |          6 |         49 |
| c:\Users\josh\code\cavegame\data\items\natesitems.lua                     | Lua          |          0 |          0 |          1 |          1 |
| c:\Users\josh\code\cavegame\data\items\potions.lua                        | Lua          |         74 |          1 |          8 |         83 |
| c:\Users\josh\code\cavegame\data\items\stations.lua                       | Lua          |        174 |          0 |         21 |        195 |
| c:\Users\josh\code\cavegame\data\items\throwables.lua                     | Lua          |         20 |          2 |          8 |         30 |
| c:\Users\josh\code\cavegame\data\items\tools.lua                          | Lua          |        204 |          6 |         34 |        244 |
| c:\Users\josh\code\cavegame\data\items\weaponry.lua                       | Lua          |        160 |          3 |         41 |        204 |
| c:\Users\josh\code\cavegame\data\loottables\smalldungeon.lua              | Lua          |          0 |          0 |          1 |          1 |
| c:\Users\josh\code\cavegame\data\recipes\alchemy.lua                      | Lua          |          7 |          0 |          2 |          9 |
| c:\Users\josh\code\cavegame\data\recipes\anvil.lua                        | Lua          |         16 |          0 |          5 |         21 |
| c:\Users\josh\code\cavegame\data\recipes\base.lua                         | Lua          |          4 |          0 |          0 |          4 |
| c:\Users\josh\code\cavegame\data\recipes\furnace.lua                      | Lua          |         17 |          0 |          6 |         23 |
| c:\Users\josh\code\cavegame\data\recipes\mechanarium.lua                  | Lua          |         14 |          0 |          2 |         16 |
| c:\Users\josh\code\cavegame\data\recipes\refinery.lua                     | Lua          |         14 |          0 |          2 |         16 |
| c:\Users\josh\code\cavegame\data\recipes\workbench.lua                    | Lua          |         21 |          1 |          8 |         30 |
